Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Jan 1",All Day,NZD,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",All Day,AUD,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",All Day,CNY,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",All Day,JPY,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",8:00am,CNY,High Impact Expected,Manufacturing PMI,54.8,55.3,
"Mon, Jan 1",All Day,CHF,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Mon, Jan 1",All Day,EUR,Non-Economic,French Bank Holiday,,,
"Mon, Jan 1",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Mon, Jan 1",All Day,GBP,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Jan 1",All Day,USD,Non-Economic,Bank Holiday,,,
"Tue, Jan 2",All Day,NZD,Non-Economic,Bank Holiday,,,
"Tue, Jan 2",5:30am,AUD,Low Impact Expected,AIG Manufacturing Index,52.4,54.4,
"Tue, Jan 2",7:00am,CNY,Non-Economic,Bank Holiday,,,
"Tue, Jan 2",All Day,JPY,Non-Economic,Bank Holiday,,,
"Tue, Jan 2",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,52.4,53.0,
"Tue, Jan 2",12:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,11.0%,13.9%,
"Tue, Jan 2",All Day,CHF,Non-Economic,Bank Holiday,,,
"Tue, Jan 2",3:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,57.2,56.1,
"Tue, Jan 2",3:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,55.0,55.5,54.8
"Tue, Jan 2",4:00pm,EUR,Medium Impact Expected,Final Manufacturing PMI,56.5,56.5,56.6
"Tue, Jan 2",4:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,51.9,53.0,52.5
"Wed, Jan 3",All Day,JPY,Non-Economic,Bank Holiday,,,
"Wed, Jan 3",3:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,-0.3K,30.3K,
"Wed, Jan 3",3:30pm,CHF,Medium Impact Expected,Manufacturing PMI,65.0,66.0,67.0
"Wed, Jan 3",3:55pm,EUR,Medium Impact Expected,German Unemployment Change,-96K,-110K,-90K
"Wed, Jan 3",4:30pm,GBP,Low Impact Expected,Construction PMI,57.5,54.5,54.8
"Wed, Jan 3",5:09pm,EUR,Low Impact Expected,German 10-y Bond Auction,3.94|1.8,3.72|1.6,
"Wed, Jan 3",8:15pm,USD,Medium Impact Expected,ADP Non-Farm Employment Change,-40K,120K,230K
"Wed, Jan 3",10:00pm,USD,High Impact Expected,ISM Manufacturing PMI,51.4,51.0,49.5
"Wed, Jan 3",10:00pm,USD,Low Impact Expected,Construction Spending m/m,-0.2%,-0.6%,-1.0%
"Wed, Jan 3",10:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,47.5,54.0,53.5
"Wed, Jan 3",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.7M,16.5M,16.1M
"Thu, Jan 4",2:00am,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Thu, Jan 4",4:45am,NZD,High Impact Expected,Trade Balance,-785M,-976M,-1174M
"Thu, Jan 4",5:30am,AUD,Low Impact Expected,AIG Services Index,49.5,48.5,
"Thu, Jan 4",1:45pm,CHF,High Impact Expected,CPI m/m,0.0%,0.1%,0.0%
"Thu, Jan 4",3:15pm,EUR,Low Impact Expected,Spanish Services PMI,58.1,60.4,
"Thu, Jan 4",3:45pm,EUR,Low Impact Expected,Italian Services PMI,55.0,56.2,56.2
"Thu, Jan 4",4:00pm,EUR,Low Impact Expected,Final Services PMI,57.2,57.5,57.6
"Thu, Jan 4",4:30pm,GBP,Medium Impact Expected,Final Services PMI,60.6,60.0,59.8
"Thu, Jan 4",4:30pm,GBP,Low Impact Expected,Mortgage Approvals,129K,120K,128K
"Thu, Jan 4",4:30pm,GBP,Low Impact Expected,Net Lending to Individuals m/m,10.9B,11.0B,10.8B
"Thu, Jan 4",4:55pm,EUR,Low Impact Expected,French 10-y Bond Auction,3.97|2.4,3.74|2.4,
"Thu, Jan 4",5:00pm,EUR,Low Impact Expected,CPI Flash Estimate y/y,1.9%,1.9%,1.9%
"Thu, Jan 4",5:00pm,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.1%,0.1%,0.2%
"Thu, Jan 4",5:30pm,GBP,Medium Impact Expected,GfK Consumer Confidence,-8,-6,-7
"Thu, Jan 4",7:30pm,GBP,Low Impact Expected,MPC Member Blanchflower Speaks,,,
"Thu, Jan 4",7:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,-49.3%,-22.7%,
"Thu, Jan 4",8:30pm,CAD,Medium Impact Expected,RMPI m/m,0.9%,1.0%,-2.8%
"Thu, Jan 4",8:30pm,CAD,Low Impact Expected,IPPI m/m,0.0%,0.5%,-0.1%
"Thu, Jan 4",8:30pm,USD,Low Impact Expected,Unemployment Claims,329K,318K,317K
"Thu, Jan 4",10:00pm,USD,High Impact Expected,ISM Services PMI,57.1,58.0,58.9
"Thu, Jan 4",10:00pm,USD,High Impact Expected,Pending Home Sales m/m,-0.5%,0.0%,-1.5%
"Thu, Jan 4",10:00pm,USD,Medium Impact Expected,Factory Orders m/m,0.9%,1.5%,-4.5%
"Thu, Jan 4",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-1.3M,-2.0M,-8.1M
"Fri, Jan 5",6:50am,JPY,Low Impact Expected,Monetary Base y/y,-20.0%,-23.5%,-22.3%
"Fri, Jan 5",3:00pm,CHF,Low Impact Expected,Foreign Currency Reserves,46B,46B,
"Fri, Jan 5",3:00pm,GBP,High Impact Expected,Halifax HPI m/m,-1.0%,1.0%,1.6%
"Fri, Jan 5",4:00pm,EUR,Low Impact Expected,Retail PMI,52.1,53.7,
"Fri, Jan 5",5:00pm,EUR,Low Impact Expected,Consumer Confidence,-6,-7,-7
"Fri, Jan 5",5:00pm,EUR,Low Impact Expected,PPI m/m,0.0%,0.1%,0.0%
"Fri, Jan 5",5:00pm,EUR,Low Impact Expected,Retail Sales m/m,0.5%,0.5%,0.3%
"Fri, Jan 5",5:00pm,EUR,Low Impact Expected,Unemployment Rate,7.6%,7.6%,7.7%
"Fri, Jan 5",7:00pm,CAD,High Impact Expected,Employment Change,62.0K,17.0K,22.0K
"Fri, Jan 5",7:00pm,CAD,High Impact Expected,Unemployment Rate,6.1%,6.3%,6.3%
"Fri, Jan 5",8:30pm,USD,High Impact Expected,Non-Farm Employment Change,167K,115K,132K
"Fri, Jan 5",8:30pm,USD,High Impact Expected,Unemployment Rate,4.5%,4.5%,4.5%
"Fri, Jan 5",8:30pm,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.5%,0.3%,0.3%
"Fri, Jan 5",10:00pm,CAD,High Impact Expected,Ivey PMI,49.4,50.5,52.8
"Fri, Jan 5",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-47B,-60B,-46B
"Sat, Jan 6",1:45am,USD,Medium Impact Expected,Fed Chairman Bernanke Speaks,,,
"Mon, Jan 8",5:30am,AUD,Low Impact Expected,AIG Construction Index,52.1,47.6,
"Mon, Jan 8",All Day,JPY,Non-Economic,Bank Holiday,,,
"Mon, Jan 8",7:30am,AUD,High Impact Expected,Building Approvals m/m,4.1%,2.0%,-6.8%
"Mon, Jan 8",7:30am,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,12.1%,-3.8%,
"Mon, Jan 8",1:45pm,CHF,Low Impact Expected,Unemployment Rate,3.1%,3.1%,3.1%
"Mon, Jan 8",2:00pm,EUR,Medium Impact Expected,German Retail Sales m/m,-0.3%,0.6%,-0.5%
"Mon, Jan 8",6:00pm,EUR,Medium Impact Expected,German Factory Orders m/m,1.5%,1.5%,-0.7%
"Mon, Jan 8",10:30pm,CAD,High Impact Expected,BOC Business Outlook Survey,,,
"Tue, Jan 9",12:45am,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
"Tue, Jan 9",3:00am,USD,Low Impact Expected,Consumer Credit m/m,12.3B,5.4B,-1.3B
"Tue, Jan 9",7:01am,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,2.5%,0.5%,
"Tue, Jan 9",7:30am,AUD,High Impact Expected,Retail Sales m/m,0.2%,0.3%,0.8%
"Tue, Jan 9",2:00pm,EUR,Low Impact Expected,German Trade Balance,19.3B,15.3B,17.2B
"Tue, Jan 9",6:00pm,EUR,Medium Impact Expected,German Industrial Production m/m,1.8%,1.0%,-0.8%
"Tue, Jan 9",7:30pm,USD,Low Impact Expected,NFIB Small Business Index,96.5,99.7,
"Tue, Jan 9",8:15pm,CAD,High Impact Expected,Housing Starts,212K,230K,229K
"Tue, Jan 9",10:00pm,USD,Low Impact Expected,RCM/TIPP Economic Optimism,53.7,53.7,53.5
"Wed, Jan 10",6:30am,AUD,Low Impact Expected,Westpac Consumer Sentiment,7.3%,11.8%,
"Wed, Jan 10",7:01am,GBP,Low Impact Expected,Nationwide Consumer Confidence,83,89,89
"Wed, Jan 10",7:30am,AUD,Medium Impact Expected,Goods Trade Balance,-0.84B,-0.73B,-1.51
"Wed, Jan 10",10:45am,JPY,Low Impact Expected,10-y Bond Auction,1.73|2.5,1.64|2.3,
"Wed, Jan 10",2:00pm,EUR,Low Impact Expected,German WPI m/m,0.0%,0.2%,0.1%
"Wed, Jan 10",2:45pm,EUR,Medium Impact Expected,French Industrial Production m/m,-0.2%,0.7%,0.0%
"Wed, Jan 10",2:45pm,EUR,Low Impact Expected,French Gov Budget Balance,-54.9B,-48.2B,
"Wed, Jan 10",2:45pm,EUR,Low Impact Expected,French Trade Balance,-2.8B,-2.3B,-2.8B
"Wed, Jan 10",4:30pm,GBP,Medium Impact Expected,Goods Trade Balance,-7.2B,-6.45B,-6.33B
"Wed, Jan 10",5:30pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,2.3%,1.8%,
"Wed, Jan 10",8:30pm,CAD,Medium Impact Expected,Building Permits m/m,3.0%,2.0%,7.8%
"Wed, Jan 10",8:30pm,CAD,Medium Impact Expected,Trade Balance,4.7B,3.7B,3.8B
"Wed, Jan 10",8:30pm,CAD,Low Impact Expected,NHPI m/m,0.5%,0.3%,0.2%
"Wed, Jan 10",8:30pm,USD,High Impact Expected,Trade Balance,-58.2B,-60.0B,-58.9B
"Wed, Jan 10",10:00pm,USD,Low Impact Expected,Final Wholesale Inventories m/m,1.3%,0.4%,0.4%
"Wed, Jan 10",10:00pm,USD,Low Impact Expected,JOLTS Job Openings,4.24M,4.25M,
"Wed, Jan 10",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-5.0M,-1.5M,-1.3M
"Thu, Jan 11",4:30am,AUD,Low Impact Expected,MI Inflation Expectations,3.5%,3.5%,
"Thu, Jan 11",7:30am,AUD,High Impact Expected,Employment Change,44.6K,12.0K,43.0K
"Thu, Jan 11",7:30am,AUD,Medium Impact Expected,Unemployment Rate,4.6%,4.8%,4.6%
"Thu, Jan 11",8:35am,CNY,High Impact Expected,USD-Denominated Trade Balance,21.0B,21.6B,22.9B
"Thu, Jan 11",12:00pm,JPY,Low Impact Expected,Leading Indicators,20.0%,20.0%,54.5%
"Thu, Jan 11",1:00pm,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-2.4%,4.9%,
"Thu, Jan 11",4:30pm,GBP,High Impact Expected,Manufacturing Production m/m,0.3%,0.2%,-0.3%
"Thu, Jan 11",4:30pm,GBP,Low Impact Expected,Industrial Production m/m,0.5%,0.2%,-0.6%
"Thu, Jan 11",5:00pm,EUR,Low Impact Expected,Final GDP q/q,0.5%,0.5%,0.5%
"Thu, Jan 11",7:00pm,GBP,High Impact Expected,MPC Rate Statement,,,
"Thu, Jan 11",7:00pm,GBP,High Impact Expected,Official Bank Rate,5.25%,5.00%,5.00%
"Thu, Jan 11",7:45pm,EUR,Medium Impact Expected,Main Refinancing Rate,3.50%,3.50%,3.50%
"Thu, Jan 11",8:00pm,USD,Low Impact Expected,FOMC Member Geithner Speaks,,,
"Thu, Jan 11",8:30pm,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Jan 11",8:30pm,USD,Low Impact Expected,Unemployment Claims,299K,320K,329K
"Thu, Jan 11",10:30pm,GBP,Low Impact Expected,CB Leading Index m/m,0.1%,0.0%,
"Thu, Jan 11",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-49B,-45B,-47B
"Fri, Jan 12",4:45am,NZD,Medium Impact Expected,Building Consents m/m,-12.0%,-3.6%,
"Fri, Jan 12",6:50am,JPY,Low Impact Expected,Bank Lending y/y,1.7%,1.2%,
"Fri, Jan 12",6:50am,JPY,Low Impact Expected,M2 Money Stock y/y,0.8%,0.8%,0.7%
"Fri, Jan 12",7:01am,GBP,Low Impact Expected,NIESR GDP Estimate,0.7%,0.6%,
