Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Jan 1",All Day,NZD,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",All Day,AUD,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",All Day,CNY,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",All Day,JPY,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",8:00am,CNY,High Impact Expected,Manufacturing PMI,55.3,55.4,
"Tue, Jan 1",All Day,CHF,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Tue, Jan 1",All Day,EUR,Non-Economic,French Bank Holiday,,,
"Tue, Jan 1",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Tue, Jan 1",All Day,GBP,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",All Day,CAD,Non-Economic,Bank Holiday,,,
"Tue, Jan 1",All Day,USD,Non-Economic,Bank Holiday,,,
"Wed, Jan 2",All Day,NZD,Non-Economic,Bank Holiday,,,
"Wed, Jan 2",5:30am,AUD,Low Impact Expected,AIG Manufacturing Index,57.6,53.8,
"Wed, Jan 2",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, Jan 2",All Day,JPY,Non-Economic,Bank Holiday,,,
"Wed, Jan 2",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,53.3,52.8,
"Wed, Jan 2",12:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,1.8%,1.6%,
"Wed, Jan 2",All Day,CHF,Non-Economic,Bank Holiday,,,
"Wed, Jan 2",3:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,49.5,50.7,
"Wed, Jan 2",3:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,50.7,51.2,51.3
"Wed, Jan 2",4:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,52.6,52.5,52.5
"Wed, Jan 2",4:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,52.9,53.9,54.3
"Wed, Jan 2",5:07pm,EUR,Low Impact Expected,German 10-y Bond Auction,4.35|1.2,4.19|2.0,
"Wed, Jan 2",10:00pm,USD,High Impact Expected,ISM Manufacturing PMI,47.7,50.7,50.8
"Wed, Jan 2",10:00pm,USD,Low Impact Expected,Construction Spending m/m,0.1%,-0.4%,-0.4%
"Wed, Jan 2",10:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,68.0,65.0,67.5
"Thu, Jan 3",2:00am,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Thu, Jan 3",All Day,JPY,Non-Economic,Bank Holiday,,,
"Thu, Jan 3",8:00am,CNY,Low Impact Expected,Non-Manufacturing PMI,58.8,54.1,
"Thu, Jan 3",3:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,35.1K,45.9K,
"Thu, Jan 3",3:30pm,CHF,Medium Impact Expected,Manufacturing PMI,61.3,61.5,63.4
"Thu, Jan 3",3:55pm,EUR,Medium Impact Expected,German Unemployment Change,-70K,-69K,-52K
"Thu, Jan 3",4:00pm,EUR,Low Impact Expected,M3 Money Supply y/y,12.3%,12.3%,12.3%
"Thu, Jan 3",4:00pm,EUR,Low Impact Expected,Private Loans y/y,11.0%,11.2%,11.2%
"Thu, Jan 3",4:30pm,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
"Thu, Jan 3",4:30pm,GBP,Low Impact Expected,Construction PMI,56.0,53.8,54.3
"Thu, Jan 3",5:02pm,EUR,Low Impact Expected,French 10-y Bond Auction,4.31|2.5,4.25|2.9,
"Thu, Jan 3",7:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,-4.7%,-8.8%,
"Thu, Jan 3",8:15pm,USD,High Impact Expected,ADP Non-Farm Employment Change,40K,45K,173K
"Thu, Jan 3",8:30pm,USD,Medium Impact Expected,Unemployment Claims,336K,345K,357K
"Thu, Jan 3",10:00pm,USD,Medium Impact Expected,Factory Orders m/m,1.5%,0.5%,0.7%
"Thu, Jan 3",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,-4.0M,-2.3M,-3.3M
"Thu, Jan 3",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.2M,16.0M,16.2M
"Fri, Jan 4",5:30am,AUD,Low Impact Expected,AIG Services Index,56.9,56.4,
"Fri, Jan 4",1:45pm,CHF,High Impact Expected,CPI m/m,0.2%,0.1%,0.5%
"Fri, Jan 4",3:15pm,EUR,Low Impact Expected,Spanish Services PMI,51.0,50.7,
"Fri, Jan 4",3:45pm,EUR,Low Impact Expected,Italian Services PMI,49.7,50.7,50.8
"Fri, Jan 4",4:00pm,EUR,Low Impact Expected,Final Services PMI,53.1,53.2,53.2
"Fri, Jan 4",4:30pm,GBP,Medium Impact Expected,Final Services PMI,52.4,51.6,51.9
"Fri, Jan 4",4:30pm,GBP,Low Impact Expected,Mortgage Approvals,83K,84K,89K
"Fri, Jan 4",4:30pm,GBP,Low Impact Expected,Net Lending to Individuals m/m,8.9B,8.2B,9.0B
"Fri, Jan 4",5:00pm,EUR,Medium Impact Expected,CPI Flash Estimate y/y,3.1%,3.1%,3.1%
"Fri, Jan 4",5:00pm,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.3%,0.3%,0.4%
"Fri, Jan 4",8:30pm,CAD,Medium Impact Expected,RMPI m/m,3.4%,0.8%,0.7%
"Fri, Jan 4",8:30pm,CAD,Low Impact Expected,IPPI m/m,0.6%,0.3%,-1.2%
"Fri, Jan 4",8:30pm,USD,High Impact Expected,Non-Farm Employment Change,18K,70K,115K
"Fri, Jan 4",8:30pm,USD,High Impact Expected,Unemployment Rate,5.0%,4.8%,4.7%
"Fri, Jan 4",8:30pm,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.4%,0.3%,0.4%
"Fri, Jan 4",10:00pm,CAD,High Impact Expected,Ivey PMI,45.9,51.5,58.7
"Fri, Jan 4",10:00pm,USD,High Impact Expected,ISM Services PMI,53.9,53.5,54.1
"Fri, Jan 4",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-87B,-110B,-165B
"Fri, Jan 4",11:15pm,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
